@relation class_relation-weka.filters.unsupervised.attribute.Remove-R14-15

@attribute tagName {BODY,DIV,TD,FONT,H1,H2,H3,H4,H5,LI,SPAN,UL,P,EM}
@attribute wordCount_AE numeric
@attribute densityinHTML_AE numeric
@attribute LinkCount_AE numeric
@attribute wordCountinLink_AE numeric
@attribute meanofWordinLinks_AE numeric
@attribute meanofWordinLinksAllWords_AE numeric
@attribute wordCount numeric
@attribute DensityinHTML numeric
@attribute LinkCount numeric
@attribute wordCountinLink numeric
@attribute meanofWordinLinks numeric
@attribute meanofWordinLinksAllWords numeric
@attribute tag_idORclass numeric
@attribute class {IRRELEVANT,MAIN,HEADLINE,INFORMATIONABOUTARTICLE}

@data
DIV,6,0.00681,5,7,1.4,1.166667,6,0.00681,5,7,1.4,1.166667,0,IRRELEVANT
TD,62,0.070375,10,64,6.4,1.032258,62,0.070375,10,64,6.4,1.032258,0,IRRELEVANT
TD,2,0.00227,0,0,0,0,50,0.056754,20,37,1.85,0.74,0,IRRELEVANT
DIV,41,0.046538,17,31,1.823529,0.756098,41,0.046538,17,31,1.823529,0.756098,0,IRRELEVANT
UL,10,0.011351,8,8,1,0.8,10,0.011351,8,8,1,0.8,0,IRRELEVANT
UL,31,0.035187,9,25,2.777778,0.806452,31,0.035187,9,25,2.777778,0.806452,0,IRRELEVANT
DIV,9,0.010216,3,8,2.666667,0.888889,9,0.010216,3,8,2.666667,0.888889,0,IRRELEVANT
DIV,2,0.002045,0,0,0,0,14,0.014315,5,13,2.6,0.928571,1,IRRELEVANT
DIV,18,0.018405,12,19,1.583333,1.055556,18,0.018405,12,19,1.583333,1.055556,1,IRRELEVANT
UL,18,0.018405,12,19,1.583333,1.055556,18,0.018405,12,19,1.583333,1.055556,0,IRRELEVANT
DIV,23,0.023517,11,23,2.090909,1,23,0.023517,11,23,2.090909,1,1,IRRELEVANT
UL,23,0.023517,11,23,2.090909,1,23,0.023517,11,23,2.090909,1,0,IRRELEVANT
H3,2,0.002045,3,5,1.666667,2.5,2,0.002045,3,5,1.666667,2.5,0,HEADLINE
H1,6,0.006135,0,0,0,0,6,0.006135,0,0,0,0,0,HEADLINE
DIV,0,0,2,2,1,0,0,0,2,2,1,0,0,IRRELEVANT
DIV,9,0.009202,4,10,2.5,1.111111,9,0.009202,4,10,2.5,1.111111,0,IRRELEVANT
UL,6,0.006135,4,10,2.5,1.666667,6,0.006135,4,10,2.5,1.666667,0,IRRELEVANT
DIV,0,0.002045,0,0,0,0,0,0,0,0,0,0,1,IRRELEVANT
